Gene_Symbol,NOD 1,NOD 2,NOD 3,NOD 4,NOD 5,NOD 6
Pik3r4,0.9735022,1.0055844,0.9944155,0.9645559,0.96359205,1.018288
Pdcd1lg2,0.9369607,0.99819887,0.9985455,1.0167401,1.0014545,0.99227524
St5,0.96985114,0.97458816,0.9916462,1.008354,0.9498185,1.0438855
Tpcn1,0.9474864,1.0253568,0.9746432,0.93951756,1.0276227,0.95627755
A630024B12Rik,0.9951828,1.0048171,0.99025035,0.95830375,0.9564043,1.0168173
3222401M22Rik,0.98452735,0.9971464,0.9857642,0.9803495,1.0559376,1.0028535
Dusp22,1.0201074,0.94677126,0.9798927,0.9788961,0.9725951,1.0367342
Zfp85-rs1,1.0204905,1.006795,0.993205,0.9700514,0.98488224,0.9656616
Icos,0.946359,0.9818585,0.9943111,1.0076448,0.99821,1.00179
Pard6a,1.0090543,0.9359956,0.99522454,0.94240457,1.0040503,0.9959497
2310034L04Rik,0.97949195,1.0059551,0.99006045,0.98873276,1.005753,0.9942468
Hs3st1,0.9890583,1.0407977,0.9936277,0.962082,0.92235786,1.0063723
Hoxb4,1.0044115,1.0092113,0.9955886,0.9505743,0.96637547,0.9288764
Syt5,0.97661686,1.0318567,1.0077263,0.9901497,0.99227375,0.9521736
Rfwd3,0.9765243,1.0006537,0.99934626,0.99205965,1.0314807,0.9904746
9030612M13Rik,0.9844182,0.9624528,1.013693,0.9863069,0.9779488,1.0279158
EG381438,0.9966581,0.9967705,1.0246596,0.974891,0.8998016,1.0032294
Cd3z,0.9982925,1.0017076,0.96572727,0.9367698,1.0409359,0.95426637
Snx9,0.96129215,0.9879359,0.97665215,0.9894366,1.0219029,1.0105634
Nrap,1.0063009,0.93709725,0.99369913,0.978347,0.9697184,1.0224621
Tmed3,1.0020617,0.97728354,0.9988593,0.9664901,0.89757556,1.0011406
Hist1h3f,0.9726801,0.94719416,0.9691881,1.0246397,1.0159568,0.9840432
Art4,0.958674,0.9924249,1.000743,1.0559595,0.99925697,0.98736024
Stk19,1.0035344,0.99890244,0.9683368,0.96236306,1.0010977,0.9637698
Hsh2d,1.02252,0.96974325,0.9884321,1.0115681,0.9411088,0.9365938
Padi4,1.005722,0.9875817,0.9942779,0.9864013,0.9532291,1.0334343
Dusp14,0.9779878,0.99207914,0.943855,1.0279514,1.0032895,0.99671054
1810048P08Rik,0.98799783,1.0548893,1.0080023,0.939692,0.9765377,0.9919977
Cmtm7,1.0327988,0.97388166,0.96501064,1.0218552,0.9781448,0.9008184
Polb,0.9768142,0.96726143,1.0350364,0.9282993,1.0231857,0.9555581
Guca1a,1.060292,1.0040939,0.99590623,0.9862239,0.98958105,0.9603636
Dapk3,1.0057304,0.9570406,0.99426955,0.95203334,1.0451331,0.9575234
scl0003251.1_21,0.9893893,1.0534824,0.99707437,0.9902771,1.0029258,0.9308934
Ubash3a,1.0220653,1.0039293,0.9806325,0.9960707,0.99281144,0.9922152
Coro1b,0.9891771,0.9929257,0.9774026,1.0070741,0.9424197,1.027622
Lyz,0.9879165,0.99776435,0.9842962,0.969811,1.0022357,1.0485587
Tmem86b,0.94003695,0.96272385,0.97982943,0.9989217,1.0096594,1.0010784
Gsta2,1.0020308,0.9979691,1.0589945,0.9963709,0.9362992,0.96720684
Fcgr2b,1.0057262,0.9647579,0.95492184,1.0420239,0.9825682,0.99427384
Chst10,0.909999,0.931073,0.982979,0.9669089,1.017021,1.0295821
Mcm6,0.9290575,0.97180885,0.96590596,1.0050032,1.0011086,0.99889153
2010011I20Rik,1.0089844,0.9910156,0.9479439,0.975187,0.9875259,1.0291343
